,Year,Player,PF,PTS
20596,2011,Derrick Brown,48,151
23675,2016,Randy Foye,48,151
12008,1995,Darrin Hancock,48,153
14986,2001,William Avery,48,154
8285,1986,Ray Williams,48,159
22785,2014,Jason Terry,48,159
21340,2012,Josh Harrellson,48,162
20781,2011,Xavier Henry,48,165
4167,1975,Jesse Dark,48,170
19527,2009,Danilo Gallinari,48,170
22415,2014,Nando De,48,177
6385,1981,Lonnie Shelton,48,182
12464,1996,Greg Graham,48,184
19709,2009,Jamario Moon,48,184
18778,2008,J.J. Barea,48,191
4487,1976,Wilbur Holland,48,192
22809,2014,Evan Turner,48,192
22087,2013,Patrick Patterson,48,193
6599,1982,Tracy Jackson,48,196
12921,1997,Sam Cassell,48,197
4891,1977,Frank Oleynick,48,201
14102,1999,LaPhonso Ellis,48,204
21473,2012,JaVale McGee,48,205
17669,2006,Alan Anderson,48,207
11925,1995,Lloyd Daniels,48,208
15948,2002,Mark Strickland,48,208
1975,1964,Bob Duffy,48,214
11691,1994,Doug Overton,48,218
24619,2017,Marcus Thornton,48,219
4950,1977,Claude Terry,48,228
1972,1964,Bob Duffy,48,232
16105,2003,Austin Croshere,48,252
24299,2017,Gerald Green,48,262
13089,1997,Eddie Johnson,48,277
14130,1999,Armen Gilliam,48,281
14493,2000,Charles Barkley*,48,289
7727,1985,Billy Knight,48,311
13244,1997,Ricky Pierce,48,324
23721,2016,Tim Hardaway,48,326
17342,2005,Casey Jacobsen,48,335
18998,2008,Larry Hughes,48,336
5312,1978,Ralph Simpson,48,340
20190,2010,Allen Iverson*,48,385
23393,2015,Alexey Shved,48,434
19986,2010,Earl Boykins,48,440
12524,1996,Magic Johnson*,48,468
14449,1999,Hot Rod,49,29
16504,2004,Robert Archibald,49,29
1869,1963,Howie Jolliff,49,36
16541,2004,Corie Blount,49,38
22270,2014,Lou Amundson,49,38
22271,2014,Lou Amundson,49,38
13394,1997,Lorenzo Williams,49,45
9733,1990,Eric Johnson,49,54
3150,1971,Walt Gilmore,49,58
18215,2006,Loren Woods,49,62
18409,2007,Othella Harrington,49,67
11748,1994,Dwayne Schintzius,49,68
11323,1993,Morlon Wiley,49,72
12299,1996,John Amaechi,49,77
688,1953,Frank Kudelka,49,79
15918,2002,Shawnelle Scott,49,82
7302,1984,Eric Fernsten,49,83
21702,2013,Joel Anthony,49,87
6880,1983,Joe Cooper,49,90
1899,1963,Bevo Nordmann,49,93
5772,1980,Tom Burleson,49,95
8055,1986,Rod Higgins,49,98
2922,1970,Bob Greacen,49,106
9292,1989,Charles Jones,49,110
20619,2011,Anthony Carter,49,110
250,1950,Marv Schatzman,49,115
21946,2013,Chris Johnson,49,117
2706,1969,Sonny Dove,49,118
9357,1989,Todd Mitchell,49,118
4297,1975,Rick Roberson,49,119
18269,2007,Steve Blake,49,120
22941,2015,Lorenzo Brown,49,122
18025,2006,Moochie Norris,49,125
11233,1993,J.R. Reid,49,127
2190,1965,John Rudometkin,49,132
17672,2006,Derek Anderson,49,133
10337,1991,Larry Robinson,49,139
6919,1983,James Edwards,49,141
18760,2008,Derek Anderson,49,141
24062,2016,C.J. Watson,49,142
24424,2017,Shawn Long,49,148
2423,1967,Freddie Lewis,49,149
16506,2004,Brandon Armstrong,49,151
1826,1963,Barney Cable,49,153
12784,1996,Rex Walters,49,153
7766,1985,Larry Micheaux,49,165
6387,1981,John Shumate,49,167
14586,2000,Kornel David,49,168
23875,2016,JaVale McGee,49,172
1693,1962,Carl Braun,49,176
8230,1986,Paul Thompson,49,179
12639,1996,Doug Overton,49,182
5917,1980,Mitch Kupchak,49,186
14441,1999,Chris Whitney,49,187
2714,1969,Fred Foster,49,191
18939,2008,Gordan Giricek,49,193
16427,2003,Kenny Thomas,49,197
22327,2014,Matt Bonner,49,197
20096,2010,Francisco Garcia,49,202
24448,2017,K.J. McDaniels,49,206
15764,2002,Trajan Langdon,49,209
4027,1974,Willis Reed*,49,210
15640,2002,Bryce Drew,49,210
17671,2006,Derek Anderson,49,216
21447,2012,Rashard Lewis,49,217
7258,1984,Leroy Combs,49,218
19231,2008,Kirk Snyder,49,227
1433,1959,Phil Rollins,49,229
14369,1999,Dennis Scott,49,234
7017,1983,Larry Kenon,49,235
19916,2009,Julian Wright,49,237
12393,1996,Sasha Danilovic,49,255
22320,2014,Steve Blake,49,256
15753,2002,Steve Kerr,49,269
22983,2015,Norris Cole,49,278
10447,1991,Danny Young,49,283
18248,2007,Kelenna Azubuike,49,291
20319,2010,Ronald Murray,49,292
5949,1980,Pete Maravich*,49,299
16242,2003,Steve Kerr,49,299
18130,2006,Damon Stoudamire,49,317
13243,1997,Ricky Pierce,49,335
10819,1992,Dennis Scott,49,359
16966,2004,Jerry Stackhouse,49,362
20489,2010,Reggie Williams,49,365
17427,2005,Cuttino Mobley,49,369
15565,2002,Terrell Brandon,49,397
21282,2012,Jordan Farmar,49,406
23278,2015,Shabazz Muhammad,49,512
16501,2004,Robert Archibald,50,32
20375,2010,Chris Richard,50,37
1759,1962,Johnny McCarthy,50,48
13581,1998,Chris Garner,50,53
19080,2008,Jamaal Magloire,50,56
8915,1988,Chris McNealy,50,67
20689,2011,Melvin Ely,50,69
22710,2014,Ronnie Price,50,74
18040,2006,Bo Outlaw,50,75
19721,2009,Eduardo Najera,50,79
17062,2004,Scott Williams,50,81
12774,1996,Keith Tower,50,82
18065,2006,Vitaly Potapenko,50,84
19847,2009,Robert Swift,50,86
10209,1991,Steve Johnson,50,90
