,Year,Player,PF,PTS
958,1955,Mike Kearns,1,1
1243,1958,George Brown,1,1
2255,1966,Will Frazier,1,1
3192,1971,Earnie Killum,1,1
3611,1973,Roger Brown,1,1
5015,1978,Jim Ard,1,1
7358,1984,Charles Jones,1,1
12243,1995,Keith Tower,1,1
14298,1999,Kevin Ollie,1,1
14669,2000,Mark Hendrickson,1,1
16502,2004,Robert Archibald,1,1
17871,2006,Zendon Hamilton,1,1
21784,2013,Will Conroy,1,1
22419,2014,Dewayne Dedmon,1,1
23206,2015,Ricky Ledo,1,1
79,1950,Normie Glick,1,2
175,1950,Murray Mitchell,1,2
975,1955,Carl McNulty,1,2
1404,1959,Tommy Kearns,1,2
1715,1962,Rich Eichhorst,1,2
1819,1963,Joe Buckhalter,1,2
1857,1963,Dave Gunther,1,2
2063,1964,Roger Strickland,1,2
2337,1966,Ben Warley,1,2
2341,1966,Ron Watts,1,2
3923,1974,Jim Garvin,1,2
4779,1977,Rudy Hackett,1,2
5060,1978,Ticky Burden,1,2
6026,1980,Al Skinner,1,2
6236,1981,Tony Jackson,1,2
7509,1984,Linton Townes,1,2
7647,1985,Chris Engler,1,2
7691,1985,Ralph Jackson,1,2
7868,1985,Linton Townes,1,2
8043,1986,Claude Gregory,1,2
8095,1986,Yvon Joseph,1,2
8267,1986,Ennis Whatley,1,2
8661,1987,Pete Williams,1,2
8859,1988,Kannard Johnson,1,2
8881,1988,Jeff Lamp,1,2
9487,1989,Sedric Toney,1,2
10487,1992,Winston Bennett,1,2
10897,1992,Kennard Winchester,1,2
10995,1993,Chris Corchiani,1,2
11287,1993,Barry Stevens,1,2
11538,1994,Geert Hammink,1,2
11605,1994,Negele Knight,1,2
11666,1994,Darren Morningstar,1,2
12968,1997,Dell Demps,1,2
14378,1999,Miles Simon,1,2
14430,1999,Jamie Watson,1,2
14453,1999,Micheal Williams,1,2
14502,2000,Benoit Benjamin,1,2
14571,2000,Marty Conlon,1,2
15211,2001,Garth Joseph,1,2
15212,2001,Garth Joseph,1,2
15288,2001,Anthony Miller,1,2
16777,2004,Brevin Knight,1,2
16849,2004,Mikki Moore,1,2
16960,2004,Leon Smith,1,2
17582,2005,James Thomas,1,2
17988,2006,Stanislav Medvedenko,1,2
18402,2007,Mike Hall,1,2
18875,2008,Kaniel Dickens,1,2
19042,2008,Bobby Jones,1,2
19067,2008,Keith Langford,1,2
19727,2009,Demetris Nichols,1,2
19935,2010,Antonio Anderson,1,2
20815,2011,Othyus Jeffers,1,2
21255,2012,Ike Diogu,1,2
21968,2013,Kris Joseph,1,2
22008,2013,Shelvin Mack,1,2
22439,2014,Shane Edwards,1,2
22553,2014,Othyus Jeffers,1,2
23269,2015,Eric Moreland,1,2
23347,2015,Julius Randle,1,2
23680,2016,Jimmer Fredette,1,2
24065,2016,Briante Weber,1,2
3928,1974,Travis Grant,1,3
5908,1980,Carl Kilpatrick,1,3
6206,1981,Roy Hamilton,1,3
8196,1986,Derrick Rowland,1,3
9908,1990,Jerry Sichting,1,3
10685,1992,Jerome Lane,1,3
10846,1992,Derek Strong,1,3
11680,1994,Chuck Nevitt,1,3
12684,1996,Terrence Rencher,1,3
13333,1997,Matt Steigenga,1,3
14512,2000,Etdrick Bohannon,1,3
14735,2000,Antonio Lang,1,3
15902,2002,Larry Robinson,1,3
16901,2004,Kirk Penney,1,3
18755,2008,Lance Allred,1,3
20057,2010,Travis Diener,1,3
20058,2010,Travis Diener,1,3
20699,2011,Patrick Ewing,1,3
22071,2013,Tim Ohlbrecht,1,3
22184,2013,Malcolm Thomas,1,3
23191,2015,Andrei Kirilenko,1,3
23728,2016,Joe Harris,1,3
1241,1958,Doug Bolstorff,1,4
2503,1968,Jim Burns,1,4
2679,1969,Ed Biedenbach,1,4
3175,1971,A.W. Holt,1,4
3269,1971,Bill Stricker,1,4
3719,1973,Harvey Marlatt,1,4
5044,1978,Phil Bond,1,4
5392,1979,Gus Bailey,1,4
8053,1986,Jerome Henderson,1,4
8080,1986,George Johnson,1,4
8352,1987,Fred Cofield,1,4
8590,1987,McKinley Singleton,1,4
8625,1987,Andre Turner,1,4
9193,1989,Mark Davis,1,4
9257,1989,Steve Harris,1,4
9465,1989,John Stroeder,1,4
9949,1990,Andre Turner,1,4
10726,1992,Carlton McKinney,1,4
10859,1992,Bob Thornton,1,4
11189,1993,Dan O'Sullivan,1,4
11476,1994,Dell Demps,1,4
11550,1994,Skeeter Henry,1,4
11646,1994,Roy Marble,1,4
11871,1995,James Blackwell,1,4
11988,1995,Tate George,1,4
12006,1995,Geert Hammink,1,4
12482,1996,Geert Hammink,1,4
12483,1996,Geert Hammink,1,4
13807,1998,Carlos Rogers,1,4
13828,1998,Shea Seals,1,4
13903,1998,David Vaughn,1,4
14105,1999,Brian Evans,1,4
14157,1999,Steve Henson,1,4
14439,1999,Tyson Wheeler,1,4
16417,2003,Mark Strickland,1,4
16599,2004,Keon Clark,1,4
18700,2007,Dajuan Wagner,1,4
19153,2008,Bo Outlaw,1,4
19218,2008,Cedric Simmons,1,4
19467,2009,Austin Croshere,1,4
19536,2009,J.R. Giddens,1,4
19904,2009,Marcus Williams,1,4
20645,2011,Marcus Cousin,1,4
21368,2012,Darington Hobson,1,4
21620,2012,Ben Uzoh,1,4
22142,2013,Henry Sims,1,4
22707,2014,Josh Powell,1,4
23192,2015,Alex Kirk,1,4
23610,2016,Rakeem Christmas,1,4
24486,2017,Gary Neal,1,4
6841,1983,Billy Ray,1,5
8433,1987,Cedric Henderson,1,5
11117,1993,Stan Kimbrough,1,5
11299,1993,Terry Teagle,1,5
13747,1998,Jimmy Oliver,1,5
14994,2001,Raja Bell,1,5
15925,2002,Reggie Slater,1,5
17131,2005,Tony Bobbitt,1,5
17224,2005,Dan Dickau,1,5
19446,2009,Speedy Claxton,1,5
21375,2012,Dennis Horner,1,5
22116,2013,Quentin Richardson,1,5
22324,2014,Vander Blue,1,5
22828,2014,Sasha Vujacic,1,5
23751,2016,Kirk Hinrich,1,5
24498,2017,Steve Novak,1,5
2877,1970,Johnny Baum,1,6
5040,1978,Bob Bigelow,1,6
5449,1979,Michael Cooper,1,6
7468,1984,Lorenzo Romar,1,6
7475,1984,DeWayne Scales,1,6
8290,1986,Voise Winters,1,6
8434,1987,Cedric Henderson,1,6
8517,1987,Cozell McQueen,1,6
10294,1991,Jawann Oldham,1,6
10464,1992,Michael Ansley,1,6
10951,1993,Ricky Blanton,1,6
11119,1993,Rich King,1,6
11921,1995,Corey Crowder,1,6
12373,1996,Robert Churchwell,1,6
12731,1996,Reggie Slater,1,6
15499,2001,David Wingate,1,6
15656,2002,Joseph Forte,1,6
16572,2004,Tierre Brown,1,6
18781,2008,Andre Barrett,1,6
19036,2008,Linton Johnson,1,6
19823,2009,Courtney Sims,1,6
19825,2009,Courtney Sims,1,6
20836,2011,Trey Johnson,1,6
22207,2013,Jarvis Varnado,1,6
23033,2015,Zoran Dragic,1,6
23251,2015,Gal Mekel,1,6
2230,1966,Gary Bradds,1,7
2856,1969,Ken Wilburn,1,7
3172,1971,Al Henry,1,7
7442,1984,Roger Phegley,1,7
7855,1985,David Thirdkill,1,7
7950,1986,Ron Brewer,1,7
7981,1986,Jeff Cook,1,7
14845,2000,Eldridge Recasner,1,7
16768,2004,James Jones,1,7
17572,2005,Yuta Tabuse,1,7
19726,2009,Demetris Nichols,1,7
21030,2011,Pape Sy,1,7
21151,2012,Kelenna Azubuike,1,7
23681,2016,Jimmer Fredette,1,7
24016,2016,Jarnell Stokes,1,7
24018,2016,Jarnell Stokes,1,7
8926,1988,Johnny Moore,1,8
8927,1988,Johnny Moore,1,8
12375,1996,John Coker,1,8
16882,2004,Travis Outlaw,1,8
17174,2005,Geno Carlisle,1,8
20449,2010,Alando Tucker,1,8
21538,2012,Ryan Reid,1,8
23423,2015,David Stockton,1,8
24313,2017,Manny Harris,1,8
7062,1983,Steve Mix,1,9
8962,1988,Michael Phelps,1,9
12579,1996,Cuonzo Martin,1,9
17698,2006,Andre Barrett,1,9
23331,2015,Dwight Powell,1,9
24381,2017,Dahntay Jones,1,9
6734,1982,Jackie Robinson,1,10
12873,1997,Elmer Bennett,1,10
13470,1998,Tim Breaux,1,10
14693,2000,Sam Jacobson,1,10
15146,2001,Gary Grant,1,10
15360,2001,Elliot Perry,1,10
17740,2006,Rick Brunson,1,10
23524,2016,Cliff Alexander,1,10
8266,1986,Ennis Whatley,1,11
8452,1987,Myron Jackson,1,11
14695,2000,Tim James,1,11
20427,2010,Garrett Temple,1,11
21719,2013,Earl Barron,1,11
22851,2014,Reggie Williams,1,11
23007,2015,Luigi Datome,1,11
191,1950,George Nostrand,1,12
438,1951,Tommy O'Keefe,1,12
8574,1987,Ron Rowan,1,12
10446,1991,A.J. Wynder,1,12
13630,1998,Troy Hudson,1,12
14061,1999,John Crotty,1,12
14223,1999,Randy Livingston,1,12
16645,2004,Bryce Drew,1,12
19104,2008,Josh McRoberts,1,12
21211,2012,DeMarre Carroll,1,12
24254,2017,Jordan Farmar,1,12
9713,1990,Mike Higgins,1,13
13212,1997,Gaylon Nickerson,1,13
16163,2003,Anthony Goldwire,1,13
17841,2006,Reece Gaines,1,13
18156,2006,Tim Thomas,1,13
40,1950,Paul Cloyd,1,14
21614,2012,Edwin Ubiles,1,14
23896,2016,Luis Montero,1,14
13211,1997,Gaylon Nickerson,1,15
24287,2017,Archie Goodwin,1,15
7072,1983,Swen Nater,1,16
23661,2016,James Ennis,1,16
11124,1993,Bart Kofoed,1,17
23920,2016,Steve Novak,1,17
16306,2003,Mikki Moore,1,18
23488,2015,Elliot Williams,1,18
23336,2015,A.J. Price,1,22
24157,2017,Joel Bolomboy,1,22
16721,2004,Alan Henderson,1,24
24240,2017,Jarell Eddie,1,24
15634,2002,Derrick Dial,1,28
1603,1961,Mike Farmer,2,0
3762,1973,Luther Rackley,2,0
3778,1973,Bob Rule,2,0
4301,1975,Bob Rule,2,0
4600,1976,Greg Smith,2,0
5334,1978,Dean Tolson,2,0
5697,1979,Andre Wakefield,2,0
5981,1980,John Olive,2,0
6820,1982,Larry Wright,2,0
7898,1985,Dale Wilkinson,2,0
7987,1986,Ron Crevier,2,0
7989,1986,Ron Crevier,2,0
8379,1987,Darren Daye,2,0
8583,1987,John Schweitz,2,0
8713,1988,Dudley Bradley,2,0
8795,1988,Kevin Gamble,2,0
9165,1989,Mike Champion,2,0
9464,1989,John Stroeder,2,0
9905,1990,Dexter Shouse,2,0
9990,1990,Mike Williams,2,0
11314,1993,Duane Washington,2,0
11337,1993,Lorenzo Williams,2,0
11674,1994,Tod Murphy,2,0
11822,1994,Lorenzo Williams,2,0
11928,1995,Yinka Dare,2,0
12058,1995,Greg Kite,2,0
12826,1996,Joe Wolf,2,0
13179,1997,Anthony Miller,2,0
14203,1999,Jonathan Kerner,2,0
14786,2000,Jason Miskiri,2,0
15109,2001,Obinna Ekezie,2,0
16074,2003,Mark Bryant,2,0
16770,2004,Popeye Jones,2,0
16914,2004,Olden Polynice,2,0
17090,2005,Shandon Anderson,2,0
17955,2006,Maciej Lampe,2,0
18506,2007,Randy Livingston,2,0
19195,2008,Jeremy Richardson,2,0
19219,2008,Courtney Sims,2,0
21005,2011,Bobby Simmons,2,0
21093,2011,Hassan Whiteside,2,0
22842,2014,Royce White,2,0
22999,2015,Seth Curry,2,0
24156,2017,Andrew Bogut,2,0
1964,1964,Len Chappell,2,1
5378,1978,Willie Wise,2,1
7730,1985,Tom LaGarde,2,1
9229,1989,Kenny Gattison,2,1
10711,1992,Tony Massenburg,2,1
11347,1993,Joe Wolf,2,1
13954,1998,Dontonio Wingfield,2,1
17004,2004,Cezary Trybanski,2,1
19822,2009,Cedric Simmons,2,1
22745,2014,Mustafa Shakur,2,1
24315,2017,Aaron Harrison,2,1
605,1952,Zeke Sinicola,2,2
1040,1956,Red Davis,2,2
1378,1959,Dave Gambee,2,2
1548,1960,Hub Reed,2,2
2021,1964,Kevin Loughery,2,2
2040,1964,Mel Peterson,2,2
4854,1977,Clyde Mayes,2,2
5039,1978,Bob Bigelow,2,2
5200,1978,Steve Kuberski,2,2
6116,1981,Lewis Brown,2,2
6455,1982,Carl Bailey,2,2
6509,1982,Joe Cooper,2,2
7815,1985,Lorenzo Romar,2,2
7849,1985,Terry Teagle,2,2
8127,1986,Brian Martin,2,2
9405,1989,Dominic Pressley,2,2
10235,1991,Gary Leonard,2,2
10645,1992,Dennis Hopson,2,2
10710,1992,Tony Massenburg,2,2
10744,1992,Chuck Nevitt,2,2
10857,1992,Stephen Thompson,2,2
11082,1993,Dave Hoppen,2,2
11384,1994,John Bagley,2,2
11842,1995,Alaa Abdelnaby,2,2
11992,1995,Ron Grandison,2,2
12096,1995,Bob Martin,2,2
13004,1997,Matt Fish,2,2
13005,1997,Matt Fish,2,2
14376,1999,Casey Shaw,2,2
14421,1999,Stojko Vrankovic,2,2
15279,2001,Roshown McLeod,2,2
16675,2004,Pat Garrity,2,2
16983,2004,Bruno Sundov,2,2
17786,2006,Josh Davis,2,2
17890,2006,Randy Holcomb,2,2
18247,2007,James Augustine,2,2
18584,2007,Scott Padgett,2,2
18607,2007,Roger Powell,2,2
20203,2010,Darnell Jackson,2,2
20683,2011,Ronald Dupree,2,2
20959,2011,Dexter Pittman,2,2
21037,2011,Garrett Temple,2,2
24620,2017,Mike Tobey,2,2
4269,1975,Otto Moore,2,3
4992,1977,Earl Williams,2,3
8217,1986,Alex Stivrins,2,3
10839,1992,Rory Sparrow,2,3
10848,1992,Jon Sundvold,2,3
11414,1994,Chucky Brown,2,3
14295,1999,Jimmy Oliver,2,3
15673,2002,Matt Geiger,2,3
16565,2004,Damone Brown,2,3
23596,2016,Bruno Caboclo,2,3
24466,2017,Elijah Millsap,2,3
5,1950,Ed Bartels,2,4
1234,1957,Bob Williams,2,4
3992,1974,Allie McGuire,2,4
4400,1976,John Block,2,4
4630,1976,Walt Wesley,2,4
6113,1981,Dave Britton,2,4
6320,1981,Dick Miller,2,4
6351,1981,Stan Pietkiewicz,2,4
7015,1983,Larry Kenon,2,4
7919,1985,Danny Young,2,4
8925,1988,Andre Moore,2,4
9344,1989,Pace Mannion,2,4
13048,1997,Darrin Hancock,2,4
13328,1997,Felton Spencer,2,4
14026,1999,Willie Burton,2,4
14590,2000,Ben Davis,2,4
15342,2001,Doug Overton,2,4
16548,2004,Ruben Boumtje-Boumtje,2,4
16789,2004,Rusty LaRue,2,4
17421,2005,Anthony Miller,2,4
17954,2006,Maciej Lampe,2,4
19985,2010,Ryan Bowen,2,4
21249,2012,Justin Dentmon,2,4
22748,2014,Tornike Shengelia,2,4
22948,2015,Reggie Bullock,2,4
23621,2016,Bryce Cotton,2,4
24276,2017,Michael Gbinije,2,4
1526,1960,Brendan McCann,2,5
6465,1982,Mel Bennett,2,5
8703,1988,Kent Benson,2,5
8935,1988,Tod Murphy,2,5
9358,1989,Todd Mitchell,2,5
12479,1996,Jack Haley,2,5
14358,1999,Carlos Rogers,2,5
19305,2008,Mike Wilks,2,5
23637,2016,Branden Dawson,2,5
446,1951,Easy Parham,2,6
703,1953,Jack McCloskey,2,6
4121,1975,Walt Bellamy*,2,6
6281,1981,John Lambert,2,6
6645,1982,Sam Lacey,2,6
7775,1985,Kenny Natt,2,6
9163,1989,Ron Cavenall,2,6
9362,1989,Richard Morton,2,6
9490,1989,Andre Turner,2,6
10123,1991,Mario Elie,2,6
10445,1991,Howard Wright,2,6
10913,1993,Mark Acres,2,6
11510,1994,Chad Gallagher,2,6
13085,1997,Chris Jent,2,6
13109,1997,Jimmy King,2,6
13462,1998,Muggsy Bogues,2,6
13501,1998,Tom Chambers,2,6
14913,2000,Jamel Thomas,2,6
16176,2003,Zendon Hamilton,2,6
16519,2004,Dana Barros,2,6
18952,2008,Gerald Green,2,6
19325,2008,Loren Woods,2,6
19610,2009,Jerome James,2,6
20056,2010,Travis Diener,2,6
23279,2015,Toure' Murry,2,6
23281,2015,Toure' Murry,2,6
23538,2016,Thanasis Antetokounmpo,2,6
23651,2016,Duje Dukan,2,6
243,1950,Jerry Rullo,2,7
3141,1971,Fred Foster,2,7
7362,1984,Mark Jones,2,7
16788,2004,Dan Langhi,2,7
17658,2005,Dorell Wright,2,7
19895,2009,James White,2,7
20199,2010,Cedric Jackson,2,7
21967,2013,Kris Joseph,2,7
22552,2014,Othyus Jeffers,2,7
22788,2014,Adonis Thomas,2,7
23518,2016,Jordan Adams,2,7
23921,2016,Steve Novak,2,7
1746,1962,Doug Kistler,2,8
3501,1972,Mike Riordan,2,8
4504,1976,Wali Jones,2,8
6102,1981,Norman Black,2,8
10515,1992,Jud Buechler,2,8
12085,1995,Gerald Madkins,2,8
12481,1996,Geert Hammink,2,8
14183,1999,Sam Jacobson,2,8
14664,2000,Michael Hawkins,2,8
17301,2005,Donnell Harvey,2,8
17434,2005,Jerome Moiso,2,8
17459,2005,Moochie Norris,2,8
18622,2007,Jeremy Richardson,2,8
18623,2007,Jeremy Richardson,2,8
20772,2011,Mike Harris,2,8
21286,2012,Kyrylo Fesenko,2,8
21917,2013,Tyler Honeycutt,2,8
23620,2016,Bryce Cotton,2,8
24078,2016,Elliot Williams,2,8
8828,1988,Kevin Henderson,2,9
10508,1992,Myron Brown,2,9
10814,1992,Steve Scheffler,2,9
14084,1999,Terry Dehere,2,9
17260,2005,Lawrence Funderburke,2,9
18824,2008,Shannon Brown,2,9
19461,2009,Joe Crawford,2,9
23679,2016,Jimmer Fredette,2,9
23845,2016,Kevon Looney,2,9
24168,2017,Anthony Brown,2,9
5840,1980,Walt Frazier*,2,10
8530,1987,Calvin Natt,2,10
9778,1990,Ralph Lewis,2,10
10847,1992,Lamont Strothers,2,10
14305,1999,Doug Overton,2,10
14448,1999,Herb Williams,2,10
15610,2002,Joe Crispin,2,10
17713,2006,Jonathan Bender,2,10
18662,2007,Pape Sow,2,10
18956,2008,Taurean Green,2,10
21202,2012,Derrick Byars,2,10
8432,1987,Cedric Henderson,2,11
13223,1997,Jimmy Oliver,2,11
14380,1999,Alvin Sims,2,11
16181,2003,Adam Harrington,2,11
19969,2010,Raja Bell,2,11
11112,1993,Steve Kerr,2,12
19306,2008,Mike Wilks,2,12
19542,2009,Drew Gooden,2,12
19901,2009,Jawad Williams,2,12
21567,2012,Donald Sloan,2,12
22325,2014,Keith Bogans,2,12
24308,2017,Justin Harper,2,12
12629,1996,Howard Nathan,2,13
14929,2000,Fred Vinson,2,13
15380,2001,Michael Redd,2,13
17192,2005,Mateen Cleaves,2,13
18365,2007,Desmon Farmer,2,13
21272,2012,Andre Emmett,2,13
5930,1980,Butch Lee,2,14
10941,1993,Kenny Battle,2,14
12015,1995,Tony Harris,2,14
14350,1999,Stanley Roberts,2,14
11505,1994,Alphonso Ford,2,16
15926,2002,Reggie Slater,2,16
14911,2000,Jamel Thomas,2,17
18682,2007,Dijon Thompson,2,17
19815,2009,Mouhamed Sene,2,17
20639,2011,Sherron Collins,2,17
5928,1980,Butch Lee,2,18
8949,1988,Mike O'Koren,2,18
14303,1999,Doug Overton,2,18
21299,2012,Courtney Fortson,2,18
22679,2014,James Nunnally,2,18
23246,2015,JaVale McGee,2,18
4132,1975,Ken Boyd,2,19
11695,1994,Gerald Paddio,2,19
14989,2001,Erick Barkley,2,19
16126,2003,Bryce Drew,2,19
20288,2010,Tracy McGrady,2,19
22590,2014,Ricky Ledo,2,19
13099,1997,Reggie Jordan,2,20
19814,2009,Mouhamed Sene,2,20
21101,2011,Jason Williams,2,21
24598,2017,Lance Stephenson,2,21
3859,1974,Dick Barnett,2,22
13267,1997,Fred Roberts,2,22
16720,2004,Shane Heal,2,22
18920,2008,Jorge Garbajosa,2,22
19264,2008,Alando Tucker,2,22
23881,2016,Jodie Meeks,2,22
13317,1997,Kenny Smith,2,23
12336,1996,Donnie Boyce,2,24
13862,1998,Joe Stephens,2,27
24671,2017,Reggie Williams,2,27
17385,2005,Voshon Lenard,2,29
23395,2015,Alexey Shved,2,29
16785,2004,Sean Lampley,2,34
21024,2011,Peja Stojakovic,2,45
5151,1978,Glenn Hansen,3,0
5153,1978,Glenn Hansen,3,0
7801,1985,Leo Rautins,3,0
11281,1993,Andre Spencer,3,0
11556,1994,Tito Horford,3,0
12154,1995,Derrick Phelps,3,0
13126,1997,Eric Leckner,3,0
13464,1998,Etdrick Bohannon,3,0
13620,1998,Sean Higgins,3,0
13659,1998,Tim Kempton,3,0
14563,2000,Pete Chilcutt,3,0
15006,2001,Muggsy Bogues,3,0
15388,2001,Terrance Roberson,3,0
15408,2001,Pepe Sanchez,3,0
16128,2003,Chris Dudley,3,0
16389,2003,Pepe Sanchez,3,0
17104,2005,Maurice Baker,3,0
17106,2005,Maurice Baker,3,0
18602,2007,Vitaly Potapenko,3,0
21043,2011,Hasheem Thabeet,3,0
21962,2013,Solomon Jones,3,0
22567,2014,Darius Johnson-Odom,3,0
2658,1968,Tom Workman,3,1
10612,1992,Greg Grant,3,1
12164,1995,Kevin Pritchard,3,1
17002,2004,Cezary Trybanski,3,1
322,1951,Leon Blevins,3,2
1546,1960,Jim Ray,3,2
2212,1966,Jay Arnette,3,2
3989,1974,Paul McCracken,3,2
5627,1979,Marlon Redmond,3,2
6389,1981,John Shumate,3,2
6658,1982,Rock Lee,3,2
6881,1983,Joe Cooper,3,2
8553,1987,Dwayne Polee,3,2
8999,1988,Carey Scurry,3,2
9104,1988,Brad Wright,3,2
9771,1990,Jim Les,3,2
9783,1990,Lewis Lloyd,3,2
10105,1991,Byron Dinkins,3,2
10799,1992,Larry Robinson,3,2
10870,1992,Joao Vianna,3,2
11364,1994,Gary Alexander,3,2
11821,1994,Lorenzo Williams,3,2
11918,1995,Lester Conner,3,2
14443,1999,Gerald Wilkins,3,2
16733,2004,Ryan Humphrey,3,2
19617,2009,Nathan Jawai,3,2
20567,2011,Mike Bibby,3,2
20734,2011,Alonzo Gee,3,2
21014,2011,Joe Smith,3,2
21117,2011,Antoine Wright,3,2
22397,2014,Jared Cunningham,3,2
80,1950,Paul Gordon,3,3
216,1950,Jack Parkinson,3,3
3669,1973,Luther Green,3,3
4717,1977,Mike D'Antoni,3,3
6294,1981,Ollie Mack,3,3
6744,1982,DeWayne Scales,3,3
11551,1994,Steve Henson,3,3
13119,1997,Larry Krystkowiak,3,3
13334,1997,Joe Stephens,3,3
18453,2007,Luke Jackson,3,3
18481,2007,Dwayne Jones,3,3
19312,2008,Justin Williams,3,3
22686,2014,Arinze Onuaku,3,3
22687,2014,Arinze Onuaku,3,3
23015,2015,Andre Dawkins,3,3
24600,2017,Jarnell Stokes,3,3
83,1950,Don Grate,3,4
947,1955,Herm Hedderick,3,4
1176,1957,Hal Lear,3,4
1926,1963,Jeff Slade,3,4
2650,1968,Roland West,3,4
3036,1970,Gene Tormohlen,3,4
3304,1971,Milt Williams,3,4
3815,1973,Bill Turner,3,4
5180,1978,John Johnson,3,4
6321,1981,Dick Miller,3,4
6340,1981,Jawann Oldham,3,4
6355,1981,Tony Price,3,4
6819,1982,Sam Worthen,3,4
7812,1985,Truck Robinson,3,4
9343,1989,Pace Mannion,3,4
9463,1989,John Stroeder,3,4
9834,1990,Chuck Nevitt,3,4
10327,1991,Robert Reid,3,4
10573,1992,Patrick Eddie,3,4
11500,1994,Jim Farmer,3,4
11521,1994,Ricky Grace,3,4
11696,1994,Gerald Paddio,3,4
13531,1998,Ben Davis,3,4
15317,2001,Mamadou N'Diaye,3,4
15566,2002,Jamison Brewer,3,4
18150,2006,John Thomas,3,4
19040,2008,Bobby Jones,3,4
24329,2017,Roy Hibbert,3,4
24512,2017,Arinze Onuaku,3,4
651,1953,Blaine Denning,3,5
1773,1962,Chuck Osborne,3,5
6345,1981,Myles Patrick,3,5
6747,1982,Craig Shelton,3,5
8678,1987,Perry Young,3,5
9843,1990,Jawann Oldham,3,5
10363,1991,Derek Smith,3,5
10443,1991,Howard Wright,3,5
11190,1993,Dan O'Sullivan,3,5
12997,1997,Jamie Feick,3,5
15887,2002,Eldridge Recasner,3,5
15970,2002,Ratko Varda,3,5
16403,2003,Charles Smith,3,5
16482,2003,Ruben Wolkowyski,3,5
16626,2004,Josh Davis,3,5
17857,2006,Stephen Graham,3,5
20298,2010,Pops Mensah-Bonsu,3,5
21682,2013,Josh Akognon,3,5
2848,1969,Bob Warlick,3,6
3344,1972,Sid Catlett,3,6
5182,1978,Larry Johnson,3,6
7340,1984,Tracy Jackson,3,6
7510,1984,Linton Townes,3,6
7774,1985,Kenny Natt,3,6
7819,1985,Campy Russell,3,6
8984,1988,Brian Rowsom,3,6
9129,1989,Greg Ballard,3,6
10002,1990,Haywoode Workman,3,6
10883,1992,Morlon Wiley,3,6
12275,1995,Micheal Williams,3,6
14159,1999,Carl Herrera,3,6
17785,2006,Josh Davis,3,6
18148,2006,James Thomas,3,6
18428,2007,Julius Hodge,3,6
20829,2011,Chris Johnson,3,6
21566,2012,Donald Sloan,3,6
22547,2014,Damion James,3,6
24606,2017,Edy Tavares,3,6
76,1950,Hoot Gibson,3,7
1310,1958,Worthy Patterson,3,7
2929,1970,Al Hairston,3,7
7625,1985,Charles Davis,3,7
9119,1989,Steve Alford,3,7
10362,1991,Clinton Smith,3,7
11963,1995,Howard Eisley,3,7
12670,1996,Kevin Pritchard,3,7
16637,2004,Kaniel Dickens,3,7
23350,2015,Shavlik Randolph,3,7
3188,1971,Rich Johnson,3,8
3311,1971,Marv Winkler,3,8
5038,1978,Bob Bigelow,3,8
6080,1980,Rick Wilson,3,8
7093,1983,Sam Pellom,3,8
7535,1984,Rory White,3,8
11621,1994,Todd Lichti,3,8
13030,1997,Devin Gray,3,8
13208,1997,Ruben Nembhard,3,8
14758,2000,Sean Marks,3,8
15542,2002,Charlie Bell,3,8
15543,2002,Charlie Bell,3,8
16855,2004,Tracy Murray,3,8
17008,2004,Ime Udoka,3,8
17561,2005,Awvee Storey,3,8
19345,2009,Blake Ahearn,3,8
19818,2009,Walter Sharpe,3,8
20292,2010,Dominic McGuire,3,8
20584,2011,Craig Brackins,3,8
24420,2017,DeAndre Liggins,3,8
24604,2017,Edy Tavares,3,8
5054,1978,Wayman Britt,3,9
8338,1987,Mike Brittain,3,9
11226,1993,Kurt Rambis,3,9
14268,1999,Terry Mills,3,9
18429,2007,Julius Hodge,3,9
21966,2013,Kris Joseph,3,9
22041,2013,Quincy Miller,3,9
22551,2014,Othyus Jeffers,3,9
22565,2014,Orlando Johnson,3,9
1517,1960,Maury King,3,10
5816,1980,Greg Deane,3,10
8258,1986,Bryan Warrick,3,10
9728,1990,Michael Jackson,3,10
9776,1990,Ralph Lewis,3,10
10689,1992,Gary Leonard,3,10
11506,1994,Greg Foster,3,10
11855,1995,Darrell Armstrong,3,10
12390,1996,Michael Curry,3,10
13465,1998,Keith Booth,3,10
13842,1998,Charles Smith,3,10
14265,1999,Oliver Miller,3,10
15560,2002,Ira Bowman,3,10
15915,2002,Jeryl Sasser,3,10
19315,2008,Marcus Williams,3,10
19317,2008,Marcus Williams,3,10
21892,2013,Terrel Harris,3,10
21901,2013,Lazar Hayward,3,10
22956,2015,Bruno Caboclo,3,10
3233,1971,Dorie Murrey,3,11
7376,1984,Bruce Kuczenski,3,11
8842,1988,Dave Hoppen,3,11
9073,1988,Ennis Whatley,3,11
14242,1999,Sean Marks,3,11
19807,2009,Cheikh Samb,3,11
20927,2011,Steve Novak,3,11
4201,1975,Phil Hankinson,3,12
7091,1983,Sam Pellom,3,12
9664,1990,Duane Ferrell,3,12
10851,1992,Carl Thomas,3,12
12439,1996,Matt Fish,3,12
12519,1996,Darryl Johnson,3,12
13111,1997,Stacey King,3,12
13287,1997,Donald Royal,3,12
13671,1998,Antonio Lang,3,12
14188,1999,Eddie Johnson,3,12
14645,2000,Gary Grant,3,12
